Date,Price
2013-01-02,15777.0
2013-01-03,15948.0
2013-01-04,14722.0
2013-01-05,13926.0
2013-01-06,12238.0
2013-01-07,13124.0
2013-01-08,13961.0
2013-01-10,13236.0
2013-01-11,12506.0
2014-01-01,12401.0
2014-01-02,13214.0
2014-01-03,12834.0
2014-01-04,12956.0
2014-01-05,12456.0
2014-01-07,12813.0
2014-01-08,12858.0
2014-01-09,12105.0
2014-01-10,11711.0
2014-01-11,11752.0
2014-01-12,11839.0
2015-01-01,12785.0
2015-01-04,11824.0
2015-01-05,11894.0
2015-01-06,11715.0
2015-01-07,10949.0
2015-01-08,11316.0
2015-01-09,11155.0
2015-01-10,11415.0
2015-01-12,10603.0
2016-01-01,11164.0
2016-01-02,12339.0
2016-01-03,12342.0
2016-01-04,12892.0
2016-01-06,13184.0
2016-01-07,13490.0
2016-01-08,13069.0
2016-01-09,13133.0
2016-01-10,12715.0
2016-01-11,11708.0
2016-01-12,11500.0
2017-01-02,12526.0
2017-01-03,12473.0
2017-01-04,12661.0
2017-01-05,12720.0
2017-01-06,12407.0
2017-01-07,12666.0
2017-01-08,13162.0
2017-01-09,12815.0
2017-01-11,12732.0
2017-01-12,13063.0
2018-01-01,13390.0
2018-01-02,13155.0
2018-01-03,13228.0
2018-01-05,13001.0
2018-01-06,12513.0
2018-01-08,12003.0
2018-01-09,11915.0
2018-01-10,12123.0
2018-01-11,12202.0
2018-01-12,12783.0
2019-01-01,13197.0
2019-01-02,13128.0
2019-01-03,12930.0
2019-01-04,12828.0
2019-01-05,13058.0
2019-01-06,14097.0
2019-01-07,14261.0
2019-01-08,15191.0
2019-01-10,15114.0
2019-01-11,14656.0
2020-01-01,15829.0
2020-01-02,15641.0
2020-01-04,16842.0
2020-01-05,17369.0
2020-01-06,17930.0
2020-01-07,19628.0
2020-01-08,19676.0
2020-01-09,18875.0
2020-01-10,18774.0
2020-01-12,18931.0
2021-01-01,18473.0
2021-01-02,17281.0
2021-01-03,17138.0
2021-01-04,17673.0
2021-01-05,19025.0
2021-01-06,17708.0
2021-01-07,18126.0
2021-01-09,17553.0
2021-01-10,17830.0
2021-01-11,17736.0
2021-01-12,18275.0
2022-01-01,17950.0
2022-01-02,18994.0
2022-01-03,19492.0
2022-01-04,19093.0
2022-01-06,18041.0
2022-01-07,17629.0
2022-01-08,17128.0
2022-01-09,16624.0
2022-01-10,16359.0
2022-01-11,17460.0
2022-01-12,18197.0
2023-01-02,18289.0
2023-01-03,19690.0
2023-01-04,19901.0
2023-01-05,19639.0
2023-01-06,19211.0
2023-01-07,19705.0
2023-01-08,19382.0
2023-01-09,18481.0
2023-01-11,20381.0
2023-01-12,20624.0
2024-01-01,20484.0
2024-01-02,20457.0
2024-01-03,22174.0
2024-01-04,22914.0
2024-01-05,23229.0
2024-01-06,23277.0
2024-01-07,24265.0
2024-01-08,24938.0
2024-01-10,27383.0
2024-01-11,26570.0
2025-01-01,28125.0
2025-01-02,28368.0
2025-01-03,31228.0
2025-01-04,33050.0
2025-01-05,32889.0
2025-01-07,32932.0
2025-01-08,34737.0
2025-01-09,38408.0
2025-01-10,39822.0
2025-01-11,42183.0
2025-01-12,43256.0
