Date,Price
2016-01-11,16454
2016-01-12,15989
2017-01-01,17543
2017-01-02,18469
2017-01-03,18206
2017-01-04,17408
2017-01-05,17481
2017-01-06,16654
2017-01-07,16884
2017-01-08,17575
2017-01-09,16847
2017-01-10,16726
2017-01-11,16445
2017-01-12,16923
2018-01-01,17284
2018-01-02,16407
2018-01-03,16297
2018-01-04,16401
2018-01-05,16503
2018-01-06,16041
2018-01-07,15597
2018-01-08,14551
2018-01-09,1429
2018-01-10,14324
2018-01-11,14356
2018-01-12,1526
2019-01-01,1612
2019-01-02,15634
2019-01-03,15019
2019-01-04,14984
2019-01-05,1453
2019-01-06,15294
2019-01-07,16444
2019-01-08,18274
2019-01-09,16998
2019-01-10,18124
2019-01-11,17009
2019-01-12,18001
2020-01-01,18032
2020-01-02,17735
2020-01-03,1418
2020-01-04,14973
2020-01-05,18009
2020-01-06,18637
2020-01-07,2345
2020-01-08,2853
2020-01-09,23494
2020-01-10,23408
2020-01-11,22583
2020-01-12,26573
2021-01-01,25945
2021-01-02,27685
2021-01-03,24552
2021-01-04,26085
2021-01-05,27955
2021-01-06,26194
2021-01-07,25799
2021-01-08,23991
2021-01-09,22047
2021-01-10,24139
2021-01-11,22799
2021-01-12,2306
2022-01-01,22419
2022-01-02,24366
2022-01-03,25158
2022-01-04,23181
2022-01-05,21737
2022-01-06,20352
2022-01-07,19918
2022-01-08,17849
2022-01-09,18712
2022-01-10,19184
2022-01-11,21727
2022-01-12,2425
2023-01-01,2393
2023-01-02,21071
2023-01-03,24076
2023-01-04,25209
2023-01-05,23696
2023-01-06,22798
2023-01-07,25092
2023-01-08,24692
2023-01-09,22741
2023-01-10,23075
2023-01-11,25541
2023-01-12,24372
2024-01-01,23282
2024-01-02,22885
2024-01-03,24879
2024-01-04,26654
2024-01-05,3168
2024-01-06,29256
2024-01-07,29073
2024-01-08,29827
2024-01-09,31458
2024-01-10,32953
2024-01-11,30455
2024-01-12,29412
2025-01-01,32493
2025-01-02,3211
2025-01-03,34611
2025-01-04,32828
2025-01-05,33423
2025-01-06,36172
2025-01-07,36712
2025-01-08,40662
2025-01-09,4664
2025-01-10,48616
2025-01-11,53607
2025-01-12,77919
