train_ratio,test_ratio,train_size,test_size,MAPE,MAE,RMSE,SMAPE,model
0.9,0.1,388,44,19.580599661224525,7.246184109374139,12.174659575095365,23.023703925825565,Damped_Trend
0.8,0.2,345,87,35.73991282102463,10.43502349884448,13.96535540182218,46.41874724999613,Damped_Trend
0.7,0.3,302,130,20.860649708566175,5.924342337235378,9.902363721686857,25.00432627018804,Damped_Trend
