model,train_ratio,test_ratio,train_size,test_size,MAPE,MAE,RMSE,SMAPE
ARIMA,0.9,0.1,388,44,19.876007817868473,7.351519482776137,12.301267725515432,23.442707955314194
ARIMA,0.8,0.2,345,87,36.797679028716495,10.71583243891733,14.25334940632044,48.1399043482663
ARIMA,0.7,0.3,302,130,22.423674277249038,6.386490745070965,10.460178780269478,27.530108952883825
Holt_Linear,0.9,0.1,388,44,17.881116283415967,6.611039955013674,11.416254543585186,20.565417523378276
Holt_Linear,0.8,0.2,345,87,32.54305769615601,9.578771235694372,13.078775825120811,41.36391784218545
Holt_Linear,0.7,0.3,302,130,17.468093538333246,4.788482426661734,8.360701272430964,19.43903313230512
Damped_Trend,0.9,0.1,388,44,19.580599661224525,7.246184109374139,12.174659575095365,23.023703925825565
Damped_Trend,0.8,0.2,345,87,35.73991282102463,10.43502349884448,13.96535540182218,46.41874724999613
Damped_Trend,0.7,0.3,302,130,20.860649708566175,5.924342337235378,9.902363721686857,25.00432627018804
