model,train_size,test_size,train_start,train_end,test_start,test_end,MAPE,MAE,RMSE,SMAPE
ARIMA,28,8,1990-12-31,2017-12-31,2018-12-31,2025-12-31,27.02007938117974,7.881349425373408,10.881238348512841,33.701790140030376
Holt_Linear,28,8,1990-12-31,2017-12-31,2018-12-31,2025-12-31,20.289220199055706,5.877399845591086,8.509251784781702,23.490972576775036
Damped_Trend,28,8,1990-12-31,2017-12-31,2018-12-31,2025-12-31,20.771189900838664,6.0169942234099345,8.667802830058193,24.155491692945613
