model,train_ratio,test_ratio,train_size,test_size,MAPE,MAE,RMSE,SMAPE
ARIMA,0.9,0.1,168,19,17.301577160963326,5151.775789473683,6192.616892215065,17.417667558928464
ARIMA,0.8,0.2,149,38,65.33728350297446,18557.387894736843,20388.497184520234,46.10309151689722
ARIMA,0.7,0.3,130,57,34.646960762700914,13609.12596491228,16136.572044680956,32.16651890601275
Holt_Linear,0.9,0.1,168,19,17.565706750772776,5374.453114053421,6616.396558390462,18.203837496323757
Holt_Linear,0.8,0.2,149,38,70.13705647404201,19975.05163381426,21849.638122877604,48.5843786792572
Holt_Linear,0.7,0.3,130,57,158.19366827693142,48334.36919868,59147.7766777561,71.39045694291892
Damped_Trend,0.9,0.1,168,19,16.82310177088277,5172.004806780234,6448.342014966,17.482247501262044
Damped_Trend,0.8,0.2,149,38,35.610876897294744,10138.175599205037,11103.707918818845,28.862090536255323
Damped_Trend,0.7,0.3,130,57,46.10720560927326,15553.70477187279,17992.93358051654,36.015951880901135
