Model,MAPE,MAE,RMSE,SMAPE
Damped,35.610876897294744,10138.175599205037,11103.707918818845,28.862090536255323
ARIMA,65.33728350297446,18557.387894736843,20388.497184520234,46.10309151689722
Holt,70.13705647404201,19975.05163381426,21849.638122877604,48.5843786792572
