Model,MAPE,MAE,RMSE,SMAPE
Holt,32.54305769615601,9.578771235694372,13.078775825120811,41.36391784218545
Damped,35.73991282102463,10.43502349884448,13.96535540182218,46.41874724999613
ARIMA,36.797679028716495,10.71583243891733,14.25334940632044,48.1399043482663
