Model,MAPE,MAE,RMSE,SMAPE
Holt,32.40358777911666,761.7970520890286,986.7612041265189,40.689098916284195
ARIMA,37.50153226947077,871.7762546058468,1102.1089483360154,48.67680570716419
Damped,38.33220079392008,889.7315220244382,1120.6113102526372,50.046951215484015
