Model,MAPE,MAE,RMSE,SMAPE
Holt,20.534049890867582,0.8495244005550889,1.0165661996011215,23.332179613903428
Damped,24.17217257471261,1.0080711842683043,1.2036403310931518,28.421305055518197
ARIMA,25.054672304692634,1.0451709516335452,1.2465003358219813,29.668320904969995
