model,train_ratio,test_ratio,train_size,test_size,MAPE,MAE,RMSE,SMAPE
ARIMA,0.9,0.1,388,44,17.769210843694914,541.0476391825241,820.2368967017786,20.943552716275605
ARIMA,0.8,0.2,345,87,37.50153226947077,871.7762546058468,1102.1089483360154,48.67680570716419
ARIMA,0.7,0.3,302,130,18.149148347270703,419.9058489752918,690.8976383234349,21.39573844303588
Holt_Linear,0.9,0.1,388,44,17.739283152551003,539.8489935797978,818.458548050478,20.88930267726284
Holt_Linear,0.8,0.2,345,87,32.40358777911666,761.7970520890286,986.7612041265189,40.689098916284195
Holt_Linear,0.7,0.3,302,130,17.769999850449988,404.89120024854066,666.8891636159958,20.565932507419053
Damped_Trend,0.9,0.1,388,44,18.428066135734767,560.8450314602203,847.6571639982739,21.870786102008548
Damped_Trend,0.8,0.2,345,87,38.33220079392008,889.7315220244382,1120.6113102526372,50.046951215484015
Damped_Trend,0.7,0.3,302,130,25.107649356848132,570.8794501620474,870.1821041678444,31.71009748660366
