train_ratio,test_ratio,train_size,test_size,MAPE,MAE,RMSE,SMAPE,model
0.9,0.1,388,44,17.739283152551003,539.8489935797978,818.458548050478,20.88930267726284,Holt_Linear
0.8,0.2,345,87,32.40358777911666,761.7970520890286,986.7612041265189,40.689098916284195,Holt_Linear
0.7,0.3,302,130,17.769999850449988,404.89120024854066,666.8891636159958,20.565932507419053,Holt_Linear
