model,train_size,test_size,MAPE,MAE,RMSE,SMAPE
Prophet_Base,345,87,43.88252920217912,1013.837125464339,1262.2180327236802,59.915261606973644
Prophet_Conservative,345,87,18.531164581511753,470.86531075098685,731.7945086558615,21.772634001137718
Prophet_Flexible,345,87,49.01918786194699,1117.5423092879535,1360.5873732621058,68.97792157821695
