model,train_size,test_size,MAPE,MAE,RMSE,SMAPE
Prophet_Base,149,38,79.59405887894636,22843.637731899245,24887.281567592137,53.23006506205308
Prophet_Conservative,149,38,83.5535850437127,24004.957961743054,26143.014987826893,55.03816899267103
Prophet_Flexible,149,38,91.83410549440994,26484.488099631428,28590.868338103977,58.85016720662507
