Fecha,Real,Forecast,P5,P25,P50,P75,P95
2019-02-01,15.634,15.996206118364675,14.000554656209157,15.22702273382608,16.096910891182006,16.97617313731522,18.205242852810127
2019-03-01,15.019,16.026998558841907,14.019359317481607,15.282457824762506,16.140398070760593,17.006848907919927,18.24512061862276
2019-04-01,14.984,16.05779099931914,14.040104054041235,15.290112470695707,16.157035018750854,17.02158286027048,18.23168960465026
2019-05-01,14.53,16.08858343979637,14.061570958453022,15.340130381354776,16.203973463003692,17.08275600754887,18.341659334292746
2019-06-01,15.294,16.119375880273605,14.108077549459676,15.359438273366369,16.2147297722437,17.069130890704926,18.301785954082376
2019-07-01,16.444,16.150168320750836,14.132103011425432,15.398728462362122,16.249877238292637,17.117627313026546,18.352261918378026
2019-08-01,18.274,16.180960761228068,14.101996973744567,15.407847072627135,16.293843250341155,17.157062191200374,18.430699844690594
2019-09-01,16.998,16.2117532017053,14.17211716934726,15.433218148381032,16.304483499941576,17.150348316828865,18.413922125064914
2019-10-01,18.124,16.24254564218253,14.20386054260231,15.474764224621895,16.34420553657129,17.187327461449897,18.454940052175516
2019-11-01,17.009,16.273338082659762,14.272222535101978,15.48381748253389,16.35921572909551,17.248983937988807,18.487269171511734
2019-12-01,18.001,16.304130523136994,14.256232611630278,15.533576960683188,16.406871978321433,17.291162041008803,18.52408236574629
2020-01-01,18.032,16.334922963614225,14.27155612374304,15.529141225020076,16.417816745311917,17.305373988590212,18.55591826691073
2020-02-01,17.735,16.365715404091457,14.28155090939577,15.605569159662672,16.483365865131113,17.354694704705,18.634647748776374
2020-03-01,14.18,16.39650784456869,14.292529579643409,15.583228739488248,16.464023817849267,17.374938459977432,18.637125959644624
2020-04-01,14.973,16.427300285045924,14.355742807366317,15.625443262035235,16.53451618867547,17.439345215204867,18.69849244489092
2020-05-01,18.009,16.458092725523155,14.42882839507664,15.688949765731522,16.567470702501105,17.464218848440982,18.7512794767957
2020-06-01,18.637,16.488885166000387,14.448896172639255,15.714051660598122,16.57051077411365,17.46933814952352,18.717717179504763
2020-07-01,23.45,16.519677606477618,14.47021812495672,15.75034976180281,16.610575840734832,17.49205224204006,18.7734768860468
2020-08-01,28.53,16.55047004695485,14.49850727768791,15.768627680546428,16.67280315286697,17.52701756055449,18.83271980382207
2020-09-01,23.494,16.58126248743208,14.532019218499316,15.782829262557646,16.697641990896805,17.595096725279962,18.857066568032547
2020-10-01,23.408,16.612054927909313,14.516814109174764,15.801290773853616,16.716321121232212,17.600077255738743,18.864349634670166
2020-11-01,22.583,16.642847368386544,14.584414033991546,15.872664808786228,16.726152701968907,17.628464938279727,18.985828311795977
2020-12-01,26.573,16.673639808863776,14.638442146647648,15.868041337390727,16.785747905663957,17.678936808800778,18.951613184036784
2021-01-01,25.945,16.70443224934101,14.606156999907595,15.903524248883535,16.803032720525856,17.7085350085331,18.991836963866355
2021-02-01,27.685,16.735224689818242,14.628943210732738,15.919114292734477,16.834474216644878,17.732833426287364,19.019624998008826
2021-03-01,24.552,16.766017130295474,14.658984279568164,15.92171883143941,16.841690972481572,17.76003281386855,19.054901899110835
2021-04-01,26.085,16.796809570772705,14.692925723908434,16.00286739685287,16.900576555593663,17.81816916628829,19.129275620352708
2021-05-01,27.955,16.827602011249937,14.653415914468857,16.030480435876,16.944328751872284,17.822850008185338,19.163130457125696
2021-06-01,26.194,16.858394451727168,14.807519142685694,16.096916888607748,16.954827093059947,17.856525306167544,19.136209984490996
2021-07-01,25.799,16.8891868922044,14.769254185451533,16.08152283686038,16.979713703906206,17.889217486106432,19.170548987357343
2021-08-01,23.991,16.91997933268163,14.849722795082403,16.123843183119114,17.040396912817137,17.96446359237942,19.260465248493695
2021-09-01,22.047,16.950771773158863,14.83231926350766,16.136895568878003,17.069205852691233,17.9933864014084,19.335371335190256
2021-10-01,24.139,16.981564213636094,14.89316099723395,16.185601227961037,17.12075298930361,18.0088579534208,19.338920629266816
2021-11-01,22.799,17.01235665411333,14.923779895351519,16.204276988982294,17.136766937238352,18.051781120673844,19.331910847966096
2021-12-01,23.06,17.04314909459056,14.927510979416017,16.25921926473061,17.163894126669167,18.08831230908414,19.389602773497437
2022-01-01,22.419,17.073941535067792,14.914282110234488,16.27371624151889,17.19367612903943,18.122143794284394,19.443896815733105
2022-02-01,24.366,17.104733975545024,15.004958672777004,16.311176115384374,17.220388840093456,18.12834419375116,19.46187735480635
2022-03-01,25.158,17.135526416022255,14.976458771753256,16.3183921295134,17.257541862731987,18.18809171256701,19.501975081225815
2022-04-01,23.181,17.166318856499487,15.060447118867831,16.362448465253923,17.295780370794745,18.216964801624147,19.552598148018102
2022-05-01,21.737,17.19711129697672,15.059939202604614,16.403079526450526,17.334293059735487,18.240405184604143,19.569060326516674
2022-06-01,20.352,17.22790373745395,15.104258605479544,16.38940189044752,17.34729951476845,18.268798752715853,19.641528936879325
2022-07-01,19.918,17.25869617793118,15.124813353881267,16.455566295845216,17.396786524832365,18.316194930044098,19.62316860612356
2022-08-01,17.849,17.289488618408413,15.162375763100233,16.47837668226551,17.419698076494218,18.343639768107206,19.680898551848944
2022-09-01,18.712,17.320281058885648,15.14377385895917,16.49747310974915,17.446491991105987,18.38227115756513,19.708771519754563
2022-10-01,19.184,17.35107349936288,15.177695826404188,16.52613108225969,17.43379384886301,18.37485465662529,19.723451694426064
2022-11-01,21.727,17.38186593984011,15.229847818076882,16.544698695538106,17.496504450649883,18.413595331732274,19.753623958605413
2022-12-01,24.25,17.412658380317342,15.27041803926981,16.587480900878315,17.50744870297546,18.455823638609388,19.779802374887204
