Fecha,Real,Forecast,P5,P25,P50,P75,P95
2018-01-01,1339.0,1303.9494699402503,1211.101601504181,1268.9001641371585,1309.8945333051797,1351.3306659949833,1409.2518334740082
2018-02-01,1315.5,1306.7690941114283,1213.3364658976122,1272.8753783393142,1313.3162694434095,1354.158325887386,1412.5269729387412
2018-03-01,1322.8,1309.5887182826066,1215.6626203472238,1274.598406375093,1315.4723405935988,1356.2343114089851,1413.288800968764
2018-05-01,1300.1,1312.4083424537848,1218.0226946095217,1278.3187791567784,1319.0570933514002,1360.499943527493,1419.8690585381173
2018-06-01,1251.3,1315.227966624963,1221.5637811896001,1280.591004083856,1320.9354714938454,1361.2379392771259,1419.3828081288182
2018-08-01,1200.3,1318.047590796141,1224.044606955514,1283.8058012039137,1323.9642136967743,1364.905899131002,1423.1577196843011
2018-09-01,1191.5,1320.8672149673193,1223.9707743740612,1285.5969477051137,1327.4092154877455,1368.146571266605,1428.252562652682
2018-10-01,1212.3,1323.6868391384976,1228.6267048087896,1288.1548223196874,1329.2814149503645,1369.2090187308168,1428.8538619201381
2018-11-01,1220.2,1326.5064633096758,1231.47164678722,1291.4763001571127,1332.5262438208877,1372.3335396582115,1432.1828069078995
2018-12-01,1278.3,1329.3260874808539,1236.0460073000188,1293.2635698366166,1334.6042456319672,1376.6235427933975,1435.1015538955573
2019-01-01,1319.7,1332.145711652032,1236.6368331978224,1296.9731919685112,1338.2239647424658,1379.9940970636521,1438.2320523215215
2019-02-01,1312.8,1334.9653358232104,1238.7061860040085,1298.1227181490117,1340.109552729255,1382.0435526010917,1441.1274302934473
2019-03-01,1293.0,1337.7849599943886,1240.5234694688966,1303.0929147559555,1344.5751623948354,1385.7517565571625,1446.2388019169105
2019-04-01,1282.8,1340.6045841655666,1242.3868983599207,1303.3955441616497,1345.0288826121782,1388.085909753876,1447.7468690992146
2019-05-01,1305.8,1343.4242083367449,1246.719562705999,1306.7491376068574,1349.7287720075733,1392.5077610366673,1452.0383949414625
2019-06-01,1409.7,1346.2438325079231,1251.5198524814466,1311.109884336185,1352.654367134653,1395.0607986313773,1455.9247643006354
2019-07-01,1426.1,1349.0634566791014,1253.8133915366952,1313.6548276372657,1354.165060412589,1396.6792979612164,1455.7272131486525
2019-08-01,1519.1,1351.8830808502794,1256.1661202106948,1316.7293760974221,1357.4268252028537,1399.1296308470346,1459.7540591329748
2019-10-01,1511.4,1354.7027050214576,1258.8484227862725,1318.9513434310966,1361.7375127891928,1402.159492188438,1463.9461685824729
2019-11-01,1465.6,1357.5223291926359,1261.7779530303505,1320.9801421867671,1364.2792158095774,1406.7567168471337,1466.4871113184845
2020-01-01,1582.9,1360.341953363814,1262.4012823100027,1323.2102976615952,1366.529180729689,1408.3674965419175,1468.2200112765913
2020-02-01,1564.1,1363.1615775349921,1266.9447074015898,1327.9457330718096,1368.359942711665,1411.0860741192105,1475.3597074922452
2020-04-01,1684.2,1365.9812017061704,1270.8461819250203,1329.0826321297918,1372.5471799826073,1414.8505187230528,1475.1271966122358
2020-05-01,1736.9,1368.8008258773486,1270.6593444945427,1332.118768854711,1374.7306606824638,1417.6264940879,1478.4196114702884
