Fecha,Real,Forecast,P5,P25,P50,P75,P95
2019-01-01,2.789,2.6357636949651524,2.3410590758475527,2.521698602196124,2.6498194946912044,2.7793210435503455,2.960343750384887
2019-02-01,2.948,2.6405273875421895,2.3440904761085313,2.5301032448499408,2.656449558817438,2.784049202288853,2.966405802375288
2019-03-01,2.9395,2.645291080119227,2.3474078327764265,2.531471326215125,2.6591255008669066,2.7864300004485094,2.9646179804946
2019-04-01,2.904,2.6500547726962647,2.350831728619077,2.5390774080219534,2.666263305595187,2.7956487797328298,2.981000440203641
2019-05-01,2.6405,2.654818465273302,2.3579420420924806,2.54216179001514,2.668073992079207,2.7938551163072205,2.975321100265909
2019-06-01,2.7135,2.6595821578503394,2.3617424994087584,2.548187878775641,2.6734757105562728,2.8012072287882486,2.9829436033447587
2019-07-01,2.6715,2.664345850427377,2.3575758983551056,2.5497729303989,2.6801752146308315,2.8072251100048096,2.9946810646427218
2019-08-01,2.547,2.669109543004414,2.3681609834671407,2.553750454522528,2.681969905964788,2.8064512968766815,2.99240468095037
2019-09-01,2.5785,2.6738732355814516,2.373097545858012,2.5601082274246023,2.6880446042170805,2.8121081410893054,2.9986345458104586
2019-10-01,2.6425,2.6786369281584888,2.3834216813628015,2.561684888247651,2.6904831298251795,2.8213956386943377,3.0035858147377685
2019-11-01,2.656,2.6834006207355263,2.3813350577666386,2.569250694668746,2.697724891595052,2.8278166170246974,3.009196844090627
2019-12-01,2.797,2.688164313312564,2.383855999079932,2.5688438304049814,2.699565923950389,2.830123521558823,3.014075664270714
2020-01-01,2.52,2.692928005889601,2.38559357040082,2.580331602293255,2.7094388882314417,2.837594873479782,3.025851747330987
2020-02-01,2.54,2.6976916984666386,2.3874763950473197,2.5772924917444273,2.706826227386286,2.840789483249718,3.026412525350024
2020-03-01,2.232,2.702455391043676,2.3970407349638045,2.583747764629778,2.7174252042641607,2.850478586483284,3.035633784547794
2020-04-01,2.344,2.7072190836207133,2.4080554316403058,2.593333208776456,2.7225036284858257,2.854354025598254,3.0435927273727423
2020-05-01,2.4345,2.711982776197751,2.4112741872953465,2.5972714676512876,2.723184106347543,2.8553255300119362,3.038856413480268
2020-06-01,2.7285,2.7167464687747884,2.414677531029559,2.6028556969101224,2.7293081343913785,2.858884349594753,3.0472525863312803
2020-07-01,2.877,2.7215101613518256,2.419105117397284,2.6057910427587245,2.738689336778241,2.864244210786499,3.056160056703408
2020-08-01,3.0555,2.726273853928863,2.4243002371363067,2.6081276609170483,2.742574668191461,2.8744706283855512,3.059938170946616
2020-09-01,3.0325,2.7310375465059007,2.4223361465694806,2.611090765559573,2.7455550258558095,2.8754235217468147,3.0612091087855346
2020-10-01,3.0515,2.735801239082938,2.4325403309320275,2.621828896754646,2.7472357681561133,2.879816623124119,3.0792602185017284
2020-11-01,3.4335,2.7405649316599754,2.440749263464046,2.6214002369296256,2.756228387567987,2.887454437532129,3.0744342499977577
2020-12-01,3.519,2.745328624237013,2.4362776870566676,2.6268643939084457,2.7590045859249352,2.8920252855412336,3.0805457632675433
2021-01-01,3.558,2.75009231681405,2.4398972481083274,2.6294063551453704,2.763860649012052,2.8958177622917165,3.084830463864111
2021-02-01,4.0925,2.7548560093910877,2.4445824682152604,2.63004155606483,2.765158785471325,2.90003657113525,3.090215290073265
2021-03-01,4.0,2.7596197019681252,2.4498403805866587,2.642212200497518,2.7740455089450897,2.9087988068223214,3.1013416809629044
2021-04-01,4.468,2.7643833945451624,2.4443125223172895,2.646520082757977,2.7807091753660824,2.9097108577657034,3.106517060869132
2021-05-01,4.681,2.7691470871222,2.467213769901935,2.6565282254203857,2.7824899806299443,2.9148808637351045,3.102769208412538
2021-06-01,4.289,2.773910779699237,2.4618697940224346,2.6545218098632306,2.7863837429821823,2.9199065066842547,3.108016690076414
2021-07-01,4.4655,2.7786744722762746,2.4739570835056335,2.6609888453593715,2.7955323786931277,2.931178759342589,3.1214225348793097
2021-08-01,4.37,2.783438164853312,2.47167730014163,2.6631596040556094,2.8000016732947675,2.935650481242887,3.132623525962913
2021-09-01,4.089,2.7882018574303493,2.4808823159818285,2.6705634098169373,2.8078081386455196,2.9381481861225076,3.133350824686146
2021-10-01,4.359,2.792965550007387,2.4856511918039033,2.673559833777128,2.810399597570456,2.9446748516501664,3.1325295838487253
2021-11-01,4.2805,2.7977292425844245,2.4864746720150377,2.6818780186388653,2.8146221770845594,2.950263299480318,3.1412033983593783
2021-12-01,4.4635,2.8024929351614616,2.484810563413805,2.684261446166904,2.819234378978334,2.955455539812257,3.149377996842555
2022-01-01,4.3265,2.807256627738499,2.4983906982870496,2.6900140037191687,2.82339635030759,2.9565942394012934,3.1522247859622534
2022-02-01,4.4545,2.8120203203155367,2.4944874090695914,2.6913299712473178,2.829089897018771,2.9655883420543443,3.1583163692651612
2022-03-01,4.752,2.816784012892574,2.5070845259580263,2.69805000304124,2.8349424671798564,2.9700532524361427,3.1659515592315457
2022-04-01,4.4085,2.8215477054696114,2.507288069499962,2.7042672562379435,2.8408350304379217,2.9737215399717756,3.1685763921883883
2022-05-01,4.299,2.826311398046649,2.514065947919794,2.7025203044767148,2.8429871166604648,2.9781164426946427,3.1794146065715494
2022-06-01,3.71,2.831075090623686,2.5173587967412234,2.7124815416655315,2.850488732081522,2.985297745891881,3.1769338363927018
2022-07-01,3.575,2.8358387832007237,2.5231453465451037,2.7160855086079874,2.854093544704912,2.9895535258647548,3.1856103239244398
2022-08-01,3.519,2.840602475777761,2.5206981106690205,2.7191452173906168,2.8582677374921275,2.9954493662813833,3.189909220483136
