exog_vars,n_vars,MAPE,MAE,RMSE,AIC,BIC,Metal
[],0,43.84709096431181,1245373.4506474999,1387999.1182339354,4228.61232643613,4243.564489370024,cobalto
['USD_Index'],1,42.5956093253071,1210856.3457754701,1358977.8102574174,4227.43413011516,4239.395860462275,cobalto
