exog_vars,n_vars,MAPE,MAE,RMSE,AIC,BIC,Metal
[],0,110.59092449796512,10524.160011594982,13837.513789731312,6895.031201449749,6918.0575841327445,plata
['USD_Index'],1,108.07932940255007,12328.116306089612,15437.984639000608,6892.621939335895,6907.972861124559,plata
