exog_vars,n_vars,MAPE,MAE,RMSE,AIC,BIC,Metal
[],0,941.0876488294623,16468.645189836203,18070.88500092537,7336.243823203289,7355.432475439119,cobre
['USD_Index'],1,863.4313750633586,16129.18286638288,18479.69830234862,7353.228571937697,7368.579493726361,cobre
