exog_vars,n_vars,MAPE,MAE,RMSE,AIC,BIC,Metal
[],0,33.01577625266316,7872.211270247993,10564.095149044952,4753.408201102482,4772.202709971869,oro
['VIX'],1,31.622319324307142,7547.829255370566,10162.564039068275,4754.648804801624,4769.684411897133,oro
