model,train_size,test_size,train_start,train_end,test_start,test_end,MAPE,MAE,RMSE,SMAPE
ARIMA,28,8,1990-12-31,2017-12-31,2018-12-31,2025-12-31,31.695794854209243,740.497952741962,986.9705556959558,40.624533976587884
Holt_Linear,28,8,1990-12-31,2017-12-31,2018-12-31,2025-12-31,28.660142711433632,678.318730250623,925.7310124909063,36.11852881173782
Damped_Trend,28,8,1990-12-31,2017-12-31,2018-12-31,2025-12-31,29.534652867258366,697.9126973270807,948.9210205021027,37.48498143855814
