Date,Real,ARIMAX_Pred,Error_Abs,Error_Pct
2018-01-11,27865,14396.35702479673,13468.64297520327,48.33534173767548
2018-01-12,2631,13851.349494740643,11220.349494740643,426.46710356292823
2019-01-01,2789,13658.30381314346,10869.30381314346,389.72046658814844
2019-01-02,2948,13571.243199836617,10623.243199836617,360.3542469415406
2019-01-03,29395,13484.471980004155,15910.528019995845,54.126647457036384
2019-01-04,2904,13397.692461944795,10493.692461944795,361.3530462102202
2019-01-05,26405,13310.913181833337,13094.086818166663,49.58942176923561
2019-01-06,27135,13224.133894898821,13910.866105101179,51.26539931859657
2019-01-07,26715,13137.354608159962,13577.645391840038,50.824051625828325
2019-01-08,2547,13050.575321415492,10503.575321415492,412.39007936456585
2019-01-09,25785,12963.796034671175,12821.203965328825,49.72349802338113
2019-01-10,26425,12877.016747926864,13547.983252073136,51.269567652121616
2019-01-11,2656,12790.237461182549,10134.237461182549,381.560145375849
2019-01-12,2797,12703.458174438229,9906.458174438229,354.18155789911435
2020-01-01,252,12616.678887693917,12364.678887693917,4906.618606227746
2020-01-02,254,12685.580499604144,12431.580499604144,4894.323031340214
2020-01-03,2232,12754.48211151437,10522.48211151437,471.4373705875613
2020-01-04,2344,12823.383723424597,10479.383723424597,447.0726844464418
2020-01-05,24345,12892.285335334824,11452.714664665176,47.04339562400976
2020-01-06,27285,12961.186947245049,14323.813052754951,52.497024199211836
2020-01-07,2877,13030.088559155272,10153.088559155272,352.90540699184123
2020-01-08,30555,13098.990171065503,17456.009828934497,57.12979816375224
2020-01-09,30325,13167.891782975727,17157.108217024273,56.57743847328697
2020-01-10,30515,13236.793394885954,17278.206605114046,56.622010831112725
2020-01-11,34335,13305.69500679618,21029.30499320382,61.247429716626826
2020-01-12,3519,13374.596618706404,9855.596618706404,280.0681051067464
2021-01-01,3558,13443.498230616631,9885.498230616631,277.83862368231115
2021-01-02,40925,13851.669428666934,27073.330571333066,66.15352613642777
2021-01-03,40,14259.840626717229,14219.840626717229,35549.60156679307
2021-01-04,4468,14668.01182476753,10200.01182476753,228.29032732246034
2021-01-05,4681,15076.18302281783,10395.18302281783,222.07184411061377
2021-01-06,4289,15484.354220868127,11195.354220868127,261.02481279711185
2021-01-07,44655,15892.52541891843,28762.47458108157,64.41042342645072
2021-01-08,437,16300.696616968728,15863.696616968728,3630.1365256221343
2021-01-09,4089,16708.867815019028,12619.867815019028,308.6296848867456
2021-01-10,4359,17117.039013069327,12758.039013069327,292.6827027545154
2021-01-11,42805,17525.210211119625,25279.789788880375,59.058030110688875
2021-01-12,44635,17933.381409169928,26701.618590830072,59.82215434262367
2022-01-01,43265,18341.552607220226,24923.447392779774,57.60648883111007
2022-01-02,44545,18212.99466544069,26332.00533455931,59.113268233380424
2022-01-03,4752,18084.436723661147,13332.436723661147,280.5647458682901
2022-01-04,44085,17955.878781881605,26129.121218118395,59.26986779657115
2022-01-05,4299,17827.320840102064,13528.320840102064,314.6852951873008
2022-01-06,371,17698.76289832253,17327.76289832253,4670.556037283701
2022-01-07,3575,17570.204956542984,13995.204956542984,391.4742645186849
2022-01-08,3519,17441.647014763443,13922.647014763443,395.64214307369826
2022-01-09,34125,17313.0890729839,16811.9109270161,49.26567304620102
2022-01-10,3375,17184.531131204367,13809.531131204367,409.1712927764257
2022-01-11,3738,17055.97318942482,13317.973189424822,356.2860671328202
2022-01-12,38105,16927.415247645284,21177.584752354716,55.5769183895938
2023-01-01,4226,16798.857305865742,12572.857305865742,297.5120043981482
2023-01-02,4074,16728.940708356422,12654.940708356422,310.62691969456114
2023-01-03,40945,16659.024110847102,24285.975889152898,59.3136546321966
2023-01-04,38812,16589.107513337785,22222.892486662215,57.257787505571
2023-01-05,3637,16519.19091582846,12882.190915828462,354.19826548882213
2023-01-06,37595,16449.274318319145,21145.725681680855,56.24611166825603
2023-01-07,4008,16379.357720809827,12371.357720809827,308.6666098006444
2023-01-08,3822,16309.44112330051,12487.44112330051,326.7253041156596
2023-01-09,37375,16239.524525791192,21135.475474208808,56.54976715507374
2023-01-10,3649,16169.60792828187,12520.60792828187,343.12436087371526
2023-01-11,38505,16099.691330772555,22405.308669227445,58.18805004344226
2023-01-12,38905,16029.77473326323,22875.225266736772,58.797648802819104
2024-01-01,3917,15959.858135753913,12042.858135753913,307.4510629500616
2024-01-02,3847,15818.264354812072,11971.264354812072,311.18441265432995
2024-01-03,4025,15676.670573870224,11651.670573870224,289.482498729695
2024-01-04,4563,15535.076792928388,10972.076792928388,240.45752340408478
2024-01-05,4602,15393.483011986547,10791.483011986547,234.49550221613532
2024-01-06,4385,15251.889231044699,10866.889231044699,247.81959477867045
2024-01-07,41765,15110.295450102858,26654.704549897142,63.82067412880915
2024-01-08,4167,14968.701669161022,10801.701669161022,259.2201024516684
2024-01-09,4553,14827.107888219174,10274.107888219174,225.65578493782505
2024-01-10,434,14685.514107277333,14251.514107277333,3283.7590108933946
2024-01-11,414,14543.920326335492,14129.920326335492,3413.0242334143704
2024-01-12,4007,14402.32654539365,10395.32654539365,259.42916260029074
2025-01-01,4321,14260.732764451808,9939.732764451808,230.03315816828996
2025-01-02,45275,14260.732764451808,31014.267235548192,68.50197070248082
2025-01-03,502,14260.732764451808,13758.732764451808,2740.783419213508
2025-01-04,4609,14260.732764451808,9651.732764451808,209.41056117274482
2025-01-05,47295,14260.732764451808,33034.26723554819,69.8472718797932
2025-01-06,50825,14260.732764451808,36564.26723554819,71.94149972562359
2025-01-07,43765,14260.732764451808,29504.267235548192,67.4152113230851
