Metal,MAPE,MAE,RMSE,N_Test
cobre,941.0876488294623,16468.645189836203,18070.88500092537,86
oro,33.01577625266316,7872.211270247993,10564.095149044952,79
plata,110.59092449796512,10524.160011594982,13837.513789731312,86
cobalto,43.84709096431181,1245373.4506474999,1387999.1182339354,37
