model,train_size,test_size,train_start,train_end,test_start,test_end,MAPE,MAE,RMSE,SMAPE
ARIMA,12,4,2010-12-31,2021-12-31,2022-12-31,2025-12-31,29.403027863221613,11888.239043981488,14333.08310909472,28.95707672926188
Holt_Linear,12,4,2010-12-31,2021-12-31,2022-12-31,2025-12-31,61.37834514068806,20189.43040726657,20826.80810226171,46.12338685323224
Damped_Trend,12,4,2010-12-31,2021-12-31,2022-12-31,2025-12-31,60.514130211358996,19954.1629334343,20546.73852022205,45.72973866772152
