model,train_ratio,test_ratio,train_size,test_size,MAPE,MAE,RMSE,SMAPE
ARIMA,0.9,0.1,388,44,11.679070012572055,0.4739840909090909,0.5611348341044732,11.13427281968035
ARIMA,0.8,0.2,345,87,25.054672304692634,1.0451709516335452,1.2465003358219813,29.668320904969995
ARIMA,0.7,0.3,302,130,22.015578406478937,0.8476025779694838,1.1053425994610853,25.378857529230853
Holt_Linear,0.9,0.1,388,44,13.042686925368965,0.5157481120728921,0.5931909039603187,12.064906697764497
Holt_Linear,0.8,0.2,345,87,20.534049890867582,0.8495244005550889,1.0165661996011215,23.332179613903428
Holt_Linear,0.7,0.3,302,130,17.03829316716691,0.6164393294499213,0.7752458618076773,17.94971360890401
Damped_Trend,0.9,0.1,388,44,11.800429241094877,0.4762487121323246,0.5607509290359551,11.186110234462468
Damped_Trend,0.8,0.2,345,87,24.17217257471261,1.0080711842683043,1.2036403310931518,28.421305055518197
Damped_Trend,0.7,0.3,302,130,20.80424682872074,0.7963454017460398,1.0353732700924956,23.615266731300817
